province,region,commune_id,commune_type,area_commune_km2,elevation_m,distance_to_urban_km,ndvi,road_density_km_per_km2,land_use_type,annual_rainfall_mm,nearest_market_km,census_population,census_density,n_microcensus_points,microcensus_total_persons,microcensus_total_households,microcensus_mean_density,has_microcensus_data,missing_mechanism,n_grid_cells_100m
Lạng Sơn,mien_nui_phia_bac,COM_0017,xa,58.6452,597.33,5.42,0.4573,0.0739,residential,1458.37,5.01,4676,79.75,35,5259,1125,98.05,1,observed,5864
Đồng Nai,dong_nam_bo,COM_0018,xa,55.9728,159.66,35.33,0.383,2.5344,residential,1882.75,13.24,45817,818.56,49,41630,10706,766.13,0,MAR,5597
Đắk Lắk,tay_nguyen,COM_0019,xa,76.4877,1050.48,96.31,0.38,0.0134,forest,2079.17,3.88,5553,72.61,17,5640,1414,66.61,1,observed,7648
Tuyên Quang,mien_nui_phia_bac,COM_0020,xa,41.1224,898.62,47.33,0.1047,2.3191,forest,1622.19,46.65,2215,53.87,10,2010,554,50.69,0,MNAR_high_density,4112
Nghệ An,duyen_hai_mien_trung,COM_0021,xa,53.6629,401.65,75.0,0.5222,3.9046,residential,1427.43,28.86,3018,56.24,37,2690,613,52.02,1,observed,5366
Ninh Bình,dong_bang_song_hong,COM_0022,xa,67.8357,77.58,14.57,0.5737,1.0657,agricultural,1724.32,14.89,77336,1140.05,14,68709,12816,1014.03,1,observed,6783
Phú Thọ,mien_nui_phia_bac,COM_0023,xa,63.623,322.17,70.44,0.718,3.6811,forest,1857.93,22.23,11759,184.83,45,11660,2778,188.38,1,observed,6362
Thanh Hóa,duyen_hai_mien_trung,COM_0024,xa,41.6291,35.53,15.54,0.2114,1.4911,agricultural,1807.59,4.21,11370,273.15,47,11004,2991,268.62,1,observed,4162
Quảng Ninh,dong_bang_song_hong,COM_0025,phuong,5.9917,133.72,3.56,0.4096,8.5608,residential,2321.7,0.46,4487,748.89,32,5045,988,823.55,1,observed,599
Cao Bằng,mien_nui_phia_bac,COM_0026,xa,41.4269,1322.24,27.89,0.5307,0.2844,agricultural,1491.48,8.92,3546,85.61,15,4003,1116,97.89,1,observed,4142
Hải Phòng,dong_bang_song_hong,COM_0027,xa,42.967,29.4,88.94,0.3411,3.0923,agricultural,1763.82,33.27,31248,727.26,26,33234,7182,772.8,0,MAR,4296
Cà Mau,dong_bang_song_cuu_long,COM_0028,thi_tran,13.3977,1.65,21.32,0.7543,3.8163,forest,2633.94,19.89,2301,171.75,26,2574,694,185.98,1,observed,1339
Tây Ninh,dong_nam_bo,COM_0029,xa,27.5576,15.09,83.46,0.1946,2.4518,agricultural,2427.46,35.67,4378,158.87,12,4604,932,160.49,1,observed,2755
Cần Thơ,dong_bang_song_cuu_long,COM_0030,thi_tran,28.5915,0.87,25.05,0.7453,0.8603,forest,2332.92,19.2,13261,463.81,42,13916,3614,517.62,1,observed,2859
Lào Cai,mien_nui_phia_bac,COM_0031,xa,36.3541,1124.54,61.49,0.7383,1.168,forest,2842.56,15.35,1945,53.52,42,1980,515,57.94,1,observed,3635
Hưng Yên,dong_bang_song_hong,COM_0032,phuong,8.2094,17.73,6.82,0.45,4.1065,residential,1383.29,2.66,13219,1610.26,27,12230,2891,1385.46,1,observed,820
Hà Tĩnh,duyen_hai_mien_trung,COM_0033,thi_tran,20.0709,160.86,21.54,0.7075,2.552,forest,2278.03,3.07,1803,89.86,42,1653,348,78.98,0,MNAR_high_density,2007
Thanh Hóa,duyen_hai_mien_trung,COM_0034,xa,62.6115,633.42,18.83,0.6421,2.9612,agricultural,2374.58,15.93,22451,358.58,39,21881,5165,377.29,1,observed,6261
Phú Thọ,mien_nui_phia_bac,COM_0035,xa,34.9895,290.26,95.97,0.5074,1.9045,forest,1627.43,21.94,6931,198.1,29,7774,1477,220.04,1,observed,3498
Bắc Ninh,dong_bang_song_hong,COM_0036,thi_tran,23.2313,26.78,3.02,0.7841,1.2343,forest,1553.62,8.77,12582,541.6,18,11777,2250,549.77,1,observed,2323
Đà Nẵng,duyen_hai_mien_trung,COM_0037,phuong,10.2141,161.19,7.84,0.2507,7.7296,mixed,2652.29,0.96,18645,1825.43,7,17752,4631,1664.98,1,observed,1021
Nghệ An,duyen_hai_mien_trung,COM_0038,thi_tran,29.0528,792.33,9.43,0.6801,1.2645,forest,1627.8,6.58,2762,95.08,12,2481,471,87.97,1,observed,2905
Tây Ninh,dong_nam_bo,COM_0039,thi_tran,36.4292,6.49,5.58,0.2441,1.5037,agricultural,2258.84,17.91,14908,409.25,26,16252,4367,428.38,0,MAR,3642
Hà Nội,dong_bang_song_hong,COM_0040,thi_tran,14.5698,31.61,13.0,0.8375,1.9362,forest,1635.71,9.49,21293,1461.49,34,24167,5774,1551.63,1,observed,1456
Tuyên Quang,mien_nui_phia_bac,COM_0041,xa,74.6247,912.48,57.87,0.146,2.4119,agricultural,1996.33,3.31,5793,77.64,25,5318,1213,76.05,1,observed,7462
Hải Phòng,dong_bang_song_hong,COM_0042,xa,31.3302,5.86,43.95,0.4835,3.4542,agricultural,1814.24,49.17,41536,1325.75,8,44399,8863,1303.13,1,observed,3133
Tuyên Quang,mien_nui_phia_bac,COM_0043,xa,75.2738,769.1,37.66,0.7127,2.9831,forest,1672.73,8.88,3638,48.34,38,3997,985,51.4,0,MNAR_high_density,7527
An Giang,dong_bang_song_cuu_long,COM_0044,phuong,3.9959,6.36,3.12,0.45,4.982,residential,1993.84,2.03,1592,398.43,34,1445,275,384.47,0,MAR,399
Thái Nguyên,mien_nui_phia_bac,COM_0045,xa,21.368,530.08,83.42,0.4604,0.7006,agricultural,1705.99,42.0,1449,67.85,30,1638,438,83.19,1,observed,2136
Lạng Sơn,mien_nui_phia_bac,COM_0046,xa,28.9172,646.8,56.59,0.3139,2.4692,residential,1401.96,40.41,2364,81.77,33,2233,418,74.8,0,MNAR_high_density,2891
Đồng Tháp,dong_bang_song_cuu_long,COM_0047,xa,44.4885,11.66,67.09,0.1772,1.9422,residential,2076.55,45.85,8134,182.84,36,9270,1927,225.0,1,observed,4448
Nghệ An,duyen_hai_mien_trung,COM_0048,thi_tran,10.7971,488.53,18.03,0.8992,3.7055,forest,2078.87,7.25,954,88.44,30,1041,228,91.09,1,observed,1079
Sơn La,mien_nui_phia_bac,COM_0049,thi_tran,11.7748,962.88,14.94,0.2335,1.352,agricultural,2024.41,15.54,803,68.23,37,703,164,54.28,0,MNAR_high_density,1177
TP. Hồ Chí Minh,dong_nam_bo,COM_0050,xa,75.9791,45.28,65.7,0.374,3.706,residential,1535.04,22.26,225550,2968.59,11,224943,48818,2915.08,1,observed,7597
Nghệ An,duyen_hai_mien_trung,COM_0051,xa,26.4587,118.21,67.46,0.6547,3.2674,forest,1544.83,26.32,1923,72.7,7,1758,413,62.67,1,observed,2645
Đồng Nai,dong_nam_bo,COM_0052,xa,69.7211,29.35,78.09,0.2468,2.1357,agricultural,2246.13,11.42,32327,463.67,33,34380,7291,525.57,1,observed,6972
Lạng Sơn,mien_nui_phia_bac,COM_0053,xa,26.5781,658.06,41.23,0.4915,2.2411,residential,1705.35,48.71,2949,110.98,15,2802,737,107.2,0,MNAR_high_density,2657
Nghệ An,duyen_hai_mien_trung,COM_0054,xa,73.408,252.69,36.05,0.3444,2.2788,agricultural,1486.37,44.67,12877,175.42,38,11315,2078,159.21,0,MNAR_high_density,7340
Hà Nội,dong_bang_song_hong,COM_0055,phuong,13.0569,31.85,1.66,0.45,7.4888,residential,1472.59,4.14,45811,3508.58,27,43088,8073,3485.67,0,MCAR,1305
Hà Nội,dong_bang_song_hong,COM_0056,xa,70.2429,24.71,16.01,0.1576,3.3759,residential,1368.37,17.37,322833,4595.96,46,354519,68005,4918.1,1,observed,7024
Hà Tĩnh,duyen_hai_mien_trung,COM_0057,xa,61.034,365.24,97.35,0.2111,2.3154,residential,2607.92,31.2,6530,107.0,17,5996,1348,89.81,1,observed,6103
Hà Nội,dong_bang_song_hong,COM_0058,xa,37.4551,25.75,29.32,0.8488,0.7002,forest,1226.95,22.32,91750,2449.62,43,102579,22605,2637.9,1,observed,3745
Quảng Ninh,dong_bang_song_hong,COM_0059,phuong,14.8463,98.08,1.34,0.299,2.4673,mixed,2158.79,1.75,9458,637.07,26,10766,2214,771.26,1,observed,1484
TP. Hồ Chí Minh,dong_nam_bo,COM_0060,xa,36.2461,17.76,45.71,0.5635,2.0245,residential,1671.98,19.43,680792,18782.5,20,617171,137477,17279.94,1,observed,3624
Thái Nguyên,mien_nui_phia_bac,COM_0061,xa,33.5314,395.18,58.06,0.1962,3.2764,agricultural,1729.56,27.93,4080,121.69,38,3837,1012,124.09,1,observed,3353
Hà Nội,dong_bang_song_hong,COM_0062,phuong,5.9581,27.64,1.42,0.45,6.934,residential,1299.19,1.34,27373,4594.3,29,25698,6057,4231.05,1,observed,595
Nghệ An,duyen_hai_mien_trung,COM_0063,xa,24.9473,159.91,42.27,0.1811,3.7395,forest,1475.86,39.61,2117,84.88,24,2095,403,91.17,1,observed,2494
Quảng Ninh,dong_bang_song_hong,COM_0064,xa,75.5505,186.81,53.86,0.6689,2.0405,forest,2433.15,10.04,20718,274.24,44,20611,3983,262.27,1,observed,7555
Hà Tĩnh,duyen_hai_mien_trung,COM_0065,xa,69.398,324.43,23.36,0.6437,0.3546,agricultural,2592.16,22.32,18806,271.0,41,16613,4164,250.2,1,observed,6939
Đà Nẵng,duyen_hai_mien_trung,COM_0066,phuong,2.503,304.47,7.04,0.1027,6.0863,residential,2792.38,0.29,1695,677.36,42,1741,322,669.74,1,observed,250
Huế,duyen_hai_mien_trung,COM_0067,xa,26.4312,330.11,48.73,0.8061,1.2592,forest,3127.53,46.24,10456,395.63,30,9423,2157,330.05,1,observed,2643
TP. Hồ Chí Minh,dong_nam_bo,COM_0068,phuong,10.945,15.43,1.94,0.2213,3.0178,residential,1402.43,2.76,80590,7363.24,23,82437,19011,7830.74,1,observed,1094
Hà Nội,dong_bang_song_hong,COM_0069,phuong,10.496,22.44,4.23,0.45,9.8048,agricultural,1315.38,1.18,62706,5974.36,5,63663,12344,6320.85,0,MNAR_high_density,1049
Nghệ An,duyen_hai_mien_trung,COM_0070,xa,53.6128,254.03,59.28,0.2374,3.7679,mixed,1669.53,39.06,4465,83.29,5,3976,818,73.71,1,observed,5361
Hải Phòng,dong_bang_song_hong,COM_0071,xa,52.7479,22.81,49.89,0.4994,2.4979,mixed,1695.09,26.9,107038,2029.24,23,107541,24095,2210.72,1,observed,5274
Thanh Hóa,duyen_hai_mien_trung,COM_0072,thi_tran,33.7676,753.52,4.55,0.2224,4.8834,agricultural,1578.94,19.07,19248,570.03,19,21668,4503,662.01,1,observed,3376
Nghệ An,duyen_hai_mien_trung,COM_0073,xa,47.0267,312.37,12.02,0.2796,0.4073,residential,1530.81,15.8,8346,177.48,18,9296,2503,197.03,1,observed,4702
Gia Lai,tay_nguyen,COM_0074,xa,51.3036,1206.42,42.83,0.2863,0.4497,residential,1620.12,48.68,5105,99.52,16,5333,993,95.62,0,MNAR_high_density,5130
Thái Nguyên,mien_nui_phia_bac,COM_0075,xa,38.6444,212.44,34.18,0.3662,2.5508,residential,1951.64,6.05,3850,99.64,27,3960,1003,95.68,1,observed,3864
Thái Nguyên,mien_nui_phia_bac,COM_0076,xa,65.463,540.85,79.82,0.3007,2.5426,residential,1618.28,36.49,7940,121.3,45,6876,1465,115.2,1,observed,6546
Quảng Trị,duyen_hai_mien_trung,COM_0077,xa,41.2194,244.88,16.14,0.6286,2.389,agricultural,2610.79,1.82,5239,127.11,45,4641,959,105.35,0,MNAR_high_density,4121
Hà Nội,dong_bang_song_hong,COM_0078,phuong,13.5252,9.38,1.31,0.3735,7.7411,mixed,1799.25,1.55,65143,4816.47,21,74867,15273,5640.78,1,observed,1352
Nghệ An,duyen_hai_mien_trung,COM_0079,xa,66.262,936.58,81.63,0.6214,1.174,agricultural,2157.82,43.17,5396,81.44,44,5114,979,69.62,0,MNAR_high_density,6626
Thái Nguyên,mien_nui_phia_bac,COM_0080,xa,35.6779,422.53,67.04,0.5075,0.8458,residential,1893.12,24.49,3001,84.12,13,3227,614,92.29,1,observed,3567
Huế,duyen_hai_mien_trung,COM_0081,xa,70.0404,168.77,55.1,0.5503,2.2738,agricultural,3099.45,17.4,41744,596.01,23,45150,10416,619.02,1,observed,7004
Hà Nội,dong_bang_song_hong,COM_0082,xa,26.7107,41.63,21.75,0.4388,2.2311,agricultural,1611.7,32.98,251179,9403.71,36,287097,69403,10665.0,1,observed,2671
Lạng Sơn,mien_nui_phia_bac,COM_0083,xa,40.8722,485.51,48.04,0.7853,2.9279,forest,1482.97,12.98,3270,80.01,8,3435,798,83.68,1,observed,4087
Hà Nội,dong_bang_song_hong,COM_0084,phuong,10.7394,17.67,7.98,0.45,8.5698,residential,1392.93,3.77,62597,5828.74,38,55909,10632,4785.43,1,observed,1073
Tuyên Quang,mien_nui_phia_bac,COM_0085,xa,56.06,664.5,47.08,0.6264,1.7364,forest,1564.29,41.67,2475,44.16,8,2706,526,50.57,1,observed,5606
Nghệ An,duyen_hai_mien_trung,COM_0086,xa,71.8002,784.24,68.46,0.6318,2.6657,agricultural,1771.14,35.77,7542,105.05,22,7872,1881,106.49,1,observed,7180
Cà Mau,dong_bang_song_cuu_long,COM_0087,xa,37.41,9.48,36.39,0.6633,1.5579,forest,2251.03,46.87,4634,123.88,43,5219,1083,130.84,1,observed,3740
Quảng Ngãi,duyen_hai_mien_trung,COM_0088,xa,51.6949,334.14,13.11,0.2008,3.0531,residential,2062.77,45.33,17149,331.74,36,16725,3768,320.87,0,MAR,5169
Đắk Lắk,tay_nguyen,COM_0089,xa,25.8779,1098.15,10.75,0.1616,0.8998,agricultural,1901.12,24.21,6855,264.93,18,6491,1565,264.04,1,observed,2587
Tuyên Quang,mien_nui_phia_bac,COM_0090,xa,54.1196,583.01,51.51,0.591,1.7356,forest,1909.23,1.46,2760,51.0,39,2688,578,49.42,1,observed,5411
Phú Thọ,mien_nui_phia_bac,COM_0091,xa,73.5384,185.68,92.68,0.5144,1.0724,forest,1421.32,28.42,17551,238.67,21,19340,5288,245.1,1,observed,7353
Sơn La,mien_nui_phia_bac,COM_0092,xa,43.5906,588.6,30.27,0.58,0.6505,forest,1750.53,17.39,2150,49.34,40,2303,525,48.52,0,MCAR,4359
Thanh Hóa,duyen_hai_mien_trung,COM_0093,xa,39.7791,775.8,50.1,0.3977,2.709,forest,1502.44,31.31,7448,187.25,27,7154,1865,180.04,1,observed,3977
Quảng Ninh,dong_bang_song_hong,COM_0094,xa,72.0559,227.51,99.26,0.7035,3.4161,forest,2382.66,36.78,19027,264.07,12,19112,3673,261.6,1,observed,7205
Khánh Hòa,tay_nguyen,COM_0095,xa,65.0344,408.21,24.09,0.7803,1.3936,forest,1282.22,21.38,10068,154.82,35,10193,2582,149.26,0,MNAR_high_density,6503
Sơn La,mien_nui_phia_bac,COM_0096,xa,55.8848,683.73,82.33,0.3828,1.8704,agricultural,1817.1,24.53,2901,51.92,29,3263,709,61.53,0,MNAR_high_density,5588
Đắk Lắk,tay_nguyen,COM_0097,thi_tran,11.9358,515.23,25.4,0.5349,4.7632,residential,1940.1,4.1,2243,187.99,42,2040,430,175.64,1,observed,1193
Hải Phòng,dong_bang_song_hong,COM_0098,phuong,12.6888,19.45,7.93,0.4425,7.1035,agricultural,1778.64,1.8,28340,2233.51,37,27703,5406,2185.78,1,observed,1268
Hà Nội,dong_bang_song_hong,COM_0099,phuong,7.2008,43.76,6.3,0.45,9.4875,agricultural,1393.33,2.77,39091,5428.84,33,36091,6777,5436.98,1,observed,720
TP. Hồ Chí Minh,dong_nam_bo,COM_0100,thi_tran,24.6189,41.9,18.0,0.3551,4.6444,agricultural,1661.5,9.02,229629,9327.35,11,244820,46285,10740.82,1,observed,2461
Quảng Ngãi,duyen_hai_mien_trung,COM_0101,xa,36.5684,502.64,24.18,0.538,3.0946,mixed,2407.06,34.98,13259,362.59,12,14309,2601,355.31,0,MAR,3656
Lào Cai,mien_nui_phia_bac,COM_0102,xa,47.3286,726.03,59.07,0.2251,0.2908,agricultural,2586.45,42.85,4879,103.1,46,5176,1470,112.12,0,MNAR_high_density,4732
Vĩnh Long,dong_bang_song_cuu_long,COM_0103,xa,21.7193,0.4,45.77,0.4636,1.315,forest,2091.21,4.63,4551,209.55,46,4824,986,238.16,1,observed,2171
Lạng Sơn,mien_nui_phia_bac,COM_0104,xa,38.8332,686.16,75.46,0.2942,2.1903,forest,1787.29,37.49,2349,60.51,25,2301,565,54.74,1,observed,3883
Hà Tĩnh,duyen_hai_mien_trung,COM_0105,xa,72.2038,278.31,69.94,0.8697,1.2318,forest,2561.2,2.12,7802,108.06,15,7574,1700,99.55,0,MNAR_high_density,7220
Quảng Trị,duyen_hai_mien_trung,COM_0106,xa,28.005,218.95,87.84,0.435,1.3033,forest,2215.58,13.56,2791,99.68,17,2565,631,86.5,1,observed,2800
Nghệ An,duyen_hai_mien_trung,COM_0107,xa,58.1917,631.14,24.64,0.5635,2.5209,agricultural,1548.93,36.43,5905,101.48,11,6449,1674,120.42,1,observed,5819
Cần Thơ,dong_bang_song_cuu_long,COM_0108,xa,73.7954,1.46,10.64,0.3514,3.0532,forest,2392.23,18.62,30680,415.75,9,28050,5198,381.06,1,observed,7379
Ninh Bình,dong_bang_song_hong,COM_0109,xa,45.9009,59.82,48.5,0.4315,2.1249,agricultural,1572.98,21.33,23292,507.46,18,20051,4227,433.14,0,MNAR_high_density,4590
Đồng Tháp,dong_bang_song_cuu_long,COM_0110,xa,53.2758,6.44,77.0,0.5877,0.3547,residential,2172.57,35.03,14156,265.72,36,14144,3089,263.84,1,observed,5327
Thanh Hóa,duyen_hai_mien_trung,COM_0111,xa,75.6939,509.23,99.52,0.1266,3.3476,mixed,2416.7,24.43,21423,283.03,17,22041,4543,282.28,0,MCAR,7569
TP. Hồ Chí Minh,dong_nam_bo,COM_0112,xa,37.4139,43.25,95.97,0.778,2.3009,forest,1977.69,24.57,31061,830.2,23,33787,7487,844.7,1,observed,3741
Cà Mau,dong_bang_song_cuu_long,COM_0113,phuong,8.9097,8.61,3.05,0.2592,5.5116,agricultural,2471.0,3.64,3028,339.89,41,3271,653,362.12,1,observed,890
Lâm Đồng,tay_nguyen,COM_0114,xa,58.0288,2209.69,47.56,0.7299,1.4334,forest,2596.28,21.37,3691,63.62,16,3914,978,70.3,0,MNAR_high_density,5802
Hà Nội,dong_bang_song_hong,COM_0115,phuong,7.6919,47.28,4.09,0.45,6.3238,residential,1392.44,3.3,55572,7224.82,40,50051,9314,6100.81,0,MCAR,769
Sơn La,mien_nui_phia_bac,COM_0116,xa,66.1604,1259.76,29.2,0.357,0.7779,agricultural,1410.94,48.01,4238,64.06,42,4539,1229,69.91,1,observed,6616
Bắc Ninh,dong_bang_song_hong,COM_0117,thi_tran,11.2887,21.64,23.31,0.7744,0.7557,forest,1688.45,7.84,4992,442.27,8,5481,1146,508.36,1,observed,1128
An Giang,dong_bang_song_cuu_long,COM_0118,thi_tran,14.7989,6.22,17.71,0.3747,0.6257,residential,1745.76,13.07,8874,599.68,42,9066,1964,604.78,1,observed,1479
Thanh Hóa,duyen_hai_mien_trung,COM_0119,thi_tran,16.9046,326.01,11.11,0.7927,3.5539,forest,2078.31,10.08,2431,143.81,46,2287,595,140.08,0,MNAR_high_density,1690
Thái Nguyên,mien_nui_phia_bac,COM_0120,xa,49.2026,520.59,46.56,0.8356,3.3677,forest,1927.47,31.85,6413,130.34,24,6590,1855,120.74,1,observed,4920
Tây Ninh,dong_nam_bo,COM_0121,xa,70.1287,95.74,32.38,0.5783,3.4725,agricultural,2315.53,21.38,32349,461.29,19,34532,7322,475.36,0,MNAR_high_density,7012
Điện Biên,mien_nui_phia_bac,COM_0122,xa,64.3865,1549.85,13.16,0.2266,0.2078,mixed,2422.19,40.07,1967,30.56,5,1889,468,31.27,0,MNAR_high_density,6438
Quảng Ngãi,duyen_hai_mien_trung,COM_0123,xa,30.3331,59.68,92.14,0.8222,2.7477,forest,2295.17,48.52,2906,95.81,15,2917,566,103.09,1,observed,3033
Lạng Sơn,mien_nui_phia_bac,COM_0124,xa,31.2048,338.1,27.5,0.1239,1.2671,mixed,1698.82,19.23,2461,78.89,22,2310,562,67.23,0,MNAR_high_density,3120
Cao Bằng,mien_nui_phia_bac,COM_0125,xa,38.7995,1316.2,40.99,0.7572,0.6692,forest,1852.1,7.63,3568,91.96,46,3291,816,82.56,1,observed,3879
Nghệ An,duyen_hai_mien_trung,COM_0126,xa,28.2191,724.39,14.26,0.8306,2.5674,forest,1794.64,24.75,3363,119.19,15,3404,746,113.28,1,observed,2821
Nghệ An,duyen_hai_mien_trung,COM_0127,xa,48.8545,720.73,72.57,0.2622,0.1948,agricultural,1525.71,20.39,7957,162.88,21,8494,1879,158.0,0,MAR,4885
Sơn La,mien_nui_phia_bac,COM_0128,thi_tran,14.1419,1067.74,3.55,0.8582,4.5585,forest,1439.15,16.85,909,64.3,18,929,248,59.16,1,observed,1414
Đồng Nai,dong_nam_bo,COM_0129,thi_tran,32.9826,2.1,23.41,0.1679,0.9798,residential,2282.67,11.46,54640,1656.64,44,62775,14892,1778.23,1,observed,3298
Lâm Đồng,tay_nguyen,COM_0130,xa,70.0082,2054.23,53.51,0.3969,1.4189,agricultural,2343.65,30.32,6581,94.01,40,7291,1662,97.24,1,observed,7000
Nghệ An,duyen_hai_mien_trung,COM_0131,xa,31.2735,134.35,75.7,0.4753,0.233,mixed,1937.04,42.36,2761,88.29,18,2500,473,86.2,1,observed,3127
TP. Hồ Chí Minh,dong_nam_bo,COM_0132,phuong,4.9837,24.24,2.63,0.45,2.5986,residential,1621.55,3.91,46337,9297.75,11,50348,12237,10569.21,1,observed,498
Lạng Sơn,mien_nui_phia_bac,COM_0133,xa,72.6456,322.01,15.85,0.3403,1.7533,agricultural,1657.91,13.02,4317,59.43,23,4771,960,66.44,1,observed,7264
Cà Mau,dong_bang_song_cuu_long,COM_0134,phuong,5.621,4.08,5.7,0.1549,8.3234,mixed,2327.9,4.01,1280,227.85,19,1430,336,253.8,1,observed,562
Thanh Hóa,duyen_hai_mien_trung,COM_0135,xa,60.6125,593.05,17.02,0.7548,2.7682,forest,1530.51,17.44,14338,236.56,21,13079,3685,198.22,1,observed,6061
Hà Nội,dong_bang_song_hong,COM_0136,xa,76.4923,6.03,90.13,0.1803,1.0949,forest,1307.7,21.26,56419,737.58,38,62365,11880,789.11,1,observed,7649
Hải Phòng,dong_bang_song_hong,COM_0137,thi_tran,33.4846,28.27,2.62,0.5811,3.9373,agricultural,1872.53,12.83,106246,3173.0,21,107743,28402,3112.33,1,observed,3348
Quảng Ninh,dong_bang_song_hong,COM_0138,xa,23.4374,63.8,91.29,0.812,2.7338,forest,1968.33,21.57,4892,208.76,19,5003,1185,218.19,1,observed,2343
Hà Nội,dong_bang_song_hong,COM_0139,phuong,2.0706,2.58,6.26,0.45,3.9084,mixed,1234.34,4.02,16255,7850.74,11,17903,5000,8130.59,1,observed,207
Hà Nội,dong_bang_song_hong,COM_0140,phuong,13.6286,32.31,2.13,0.45,5.7596,residential,1761.33,0.39,74652,5477.62,18,68248,18453,4714.24,1,observed,1362
Hà Nội,dong_bang_song_hong,COM_0141,xa,66.8349,42.06,29.73,0.358,1.0078,agricultural,1609.96,12.18,237094,3547.46,27,252141,66337,3431.08,1,observed,6683
Cao Bằng,mien_nui_phia_bac,COM_0142,xa,23.6974,838.57,24.24,0.6594,1.4589,forest,1669.61,6.56,1202,50.75,14,1047,192,45.81,0,MNAR_high_density,2369
Quảng Ngãi,duyen_hai_mien_trung,COM_0143,xa,73.9655,152.92,19.63,0.1097,0.7687,residential,2092.99,43.52,25960,350.98,33,25353,5019,330.63,1,observed,7396
Lạng Sơn,mien_nui_phia_bac,COM_0144,xa,28.2099,884.55,51.65,0.1135,1.1332,mixed,1389.5,9.89,1399,49.62,50,1507,344,50.31,0,MNAR_high_density,2820
Tây Ninh,dong_nam_bo,COM_0145,xa,36.5226,15.15,59.85,0.3125,3.3793,forest,1802.74,28.72,5674,155.37,9,5171,975,143.66,1,observed,3652
Đồng Tháp,dong_bang_song_cuu_long,COM_0146,xa,35.3083,11.68,13.16,0.2286,1.7814,forest,2419.05,38.03,9962,282.16,10,11188,2083,304.38,1,observed,3530
Lâm Đồng,tay_nguyen,COM_0147,xa,46.9672,1420.86,39.68,0.6397,0.0307,mixed,1902.44,49.99,9342,198.91,30,10611,2117,226.24,0,MNAR_high_density,4696
